	input_form	input_syll	input_des	output_form	output_syll	output_des	input_index	output_index	change_sequences
13187	manea	ma.ne'a		manele	ma.n'e.le	le	171558	171576	^/^ m/m a/a n/n e'a/'e $/$
13188	furtișag	fur.ti.ș'ag		furtișaguri	fur.ti.ș'a.guri	uri	133541	133545	^/^ f/f u/u r/r t/t i/i ș/ș 'a/'a g/g $/$
13189	romaniță	ro.ma.n'i.ță	ă	romanițe	ro.ma.n'i.țe	e	257483	257478	^/^ r/r o/o m/m a/a n/n 'i/'i ț/ț $/$
13190	arendă	a.r'en.dă	ă	arende	a.r'en.de	e	35680	35668	^/^ a/a r/r 'e/'e n/n d/d $/$
13191	arendă	a.r'en.dă	ă	arenzi	a.r'enzi	i	35680	35702	^/^ a/a r/r 'e/'e n/n d/z $/$
13192	miriște	m'i.riș.te	e	miriști	m'i.riști	i	178851	178853	^/^ m/m 'i/'i r/r i/i ș/ș t/t $/$
13193	fușcel	fuș.c'el		fușcei	fuș.c'ei	i	132503	132500	^/^ f/f u/u ș/ș c/c 'e/'e l/0 $/$
13194	copiliță	co.pi.l'i.ță	ă	copilițe	co.pi.l'i.țe	e	80400	80392	^/^ c/c o/o p/p i/i l/l 'i/'i ț/ț $/$
13195	atlet	a.tl'et		atleți	a.tl'eți	i	39631	39661	^/^ a/a t/t l/l 'e/'e t/ț $/$
13196	salariat	sa.la.ri.'at		salariați	sa.la.ri.'ați	i	260897	260921	^/^ s/s a/a l/l a/a r/r i/i 'a/'a t/ț $/$
13197	bacalaureat	ba.ca.la.u.re.'at		bacalaureate	ba.ca.la.u.re.'a.te	e	44955	44956	^/^ b/b a/a c/c a/a l/l a/a u/u r/r e/e 'a/'a t/t $/$
13198	bacalaureat	ba.ca.la.u.re.'at		bacalaureați	ba.ca.la.u.re.'ați	i	44955	44962	^/^ b/b a/a c/c a/a l/l a/a u/u r/r e/e 'a/'a t/ț $/$
13199	pârâu	pâ.r'âu	u	pâraie	pâ.r'a.ie	ie	238725	238571	^/^ p/p â/â r/r 'â/'a $/$
13200	pârâu	pâ.r'âu	u	pârâuri	pâ.r'â.uri	uri	238725	238734	^/^ p/p â/â r/r 'â/'â $/$
13201	spartan	spar.t'an		spartani	spar.t'ani	i	274178	274186	^/^ s/s p/p a/a r/r t/t 'a/'a n/n $/$
13202	cauzalitate	ca.u.za.li.t'a.te	e	cauzalități	ca.u.za.li.t'ăți	i	60637	60639	^/^ c/c a/a u/u z/z a/a l/l i/i t/t 'a/'ă t/ț $/$
13203	trecut	tre.c'ut		trecuturi	tre.c'u.turi	uri	295623	295644	^/^ t/t r/r e/e c/c 'u/'u t/t $/$
13204	trecut	tre.c'ut		trecuți	tre.c'uți	i	295623	295653	^/^ t/t r/r e/e c/c 'u/'u t/ț $/$
13205	berbec	ber.b'ec		berbeci	ber.b'eci	i	47204	47205	^/^ b/b e/e r/r b/b 'e/'e c/c $/$
13206	compensație	com.pen.s'a.ți.e	e	compensații	com.pen.s'a.ții	i	71900	71902	^/^ c/c o/o m/m p/p e/e n/n s/s 'a/'a ț/ț i/i $/$
13207	derută	de.r'u.tă	ă	derute	de.r'u.te	e	97175	97163	^/^ d/d e/e r/r 'u/'u t/t $/$
13208	budget	bu.dg'et		budgete	bu.dg'e.te	e	52819	52820	^/^ b/b u/u d/d g/g 'e/'e t/t $/$
13209	hadâmb	ha.d'âmb		hadâmbi	ha.d'âmbi	i	141115	141116	^/^ h/h a/a d/d 'â/'â m/m b/b $/$
13210	muselim	mu.se.l'im		muselimi	mu.se.l'imi	i	184258	184259	^/^ m/m u/u s/s e/e l/l 'i/'i m/m $/$
13211	frustrare	frus.tr'a.re	e	frustrări	frus.tr'ări	i	132287	132257	^/^ f/f r/r u/u s/s t/t r/r 'a/'ă r/r $/$
13212	miliardară	mi.li.ar.d'a.ră	ă	miliardare	mi.li.ar.d'a.re	e	177519	177509	^/^ m/m i/i l/l i/i a/a r/r d/d 'a/'a r/r $/$
13213	rușine	ru.ș'i.ne	e	rușini	ru.ș'ini	i	258148	258155	^/^ r/r u/u ș/ș 'i/'i n/n $/$
13214	generare	ge.ne.r'a.re	e	generări	ge.ne.r'ări	i	135505	135379	^/^ g/g e/e n/n e/e r/r 'a/'ă r/r $/$
13215	aeroplan	a.e.ro.pl'an		aeroplane	a.e.ro.pl'a.ne	e	23384	23385	^/^ a/a e/e r/r o/o p/p l/l 'a/'a n/n $/$
13216	atelaj	a.te.l'aj		atelaje	a.te.l'a.je	e	39148	39149	^/^ a/a t/t e/e l/l 'a/'a j/j $/$
13217	păioară	pă.io'a.ră	ă	păioare	pă.io'a.re	e	209958	209952	^/^ p/p ă/ă i/i o'a/o'a r/r $/$
13218	bronzier	bron.zi.'er		bronzieri	bron.zi.'eri	i	51995	51996	^/^ b/b r/r o/o n/n z/z i/i 'e/'e r/r $/$
13219	delapidare	de.la.pi.d'a.re	e	delapidări	de.la.pi.d'ări	i	93897	93928	^/^ d/d e/e l/l a/a p/p i/i d/d 'a/'ă r/r $/$
13220	ospeție	os.pe.ț'i.e	e	ospeții	os.pe.ț'ii	i	208638	208640	^/^ o/o s/s p/p e/e ț/ț 'i/'i $/$
13221	facilitate	fa.ci.li.t'a.te	e	facilități	fa.ci.li.t'ăți	i	123566	123601	^/^ f/f a/a c/c i/i l/l i/i t/t 'a/'ă t/ț $/$
13222	zdrângănel	zdrân.gă.n'el		zdrângănei	zdrân.gă.n'ei	i	311979	311976	^/^ z/z d/d r/r â/â n/n g/g ă/ă n/n 'e/'e l/0 $/$
13223	recrut	re.cr'ut		recruți	re.cr'uți	i	245909	245899	^/^ r/r e/e c/c r/r 'u/'u t/ț $/$
13224	fund	f'und		funduri	f'un.duri	uri	132984	133125	^/^ f/f 'u/'u n/n d/d $/$
13225	fund	f'und		funzi	f'unzi	i	132984	133193	^/^ f/f 'u/'u n/n d/z $/$
13226	trencicot	tr'en.ci.cot		trencicoturi	tr'en.ci.co.turi	uri	295831	295835	^/^ t/t r/r 'e/'e n/n c/c i/i c/c o/o t/t $/$
13227	obligație	o.bli.g'a.ți.e	e	obligații	o.bli.g'a.ții	i	203296	203299	^/^ o/o b/b l/l i/i g/g 'a/'a ț/ț i/i $/$
13228	omisiune	o.mi.si.'u.ne	e	omisiuni	o.mi.si.'uni	i	205773	205776	^/^ o/o m/m i/i s/s i/i 'u/'u n/n $/$
13229	asparagus	as.pa.r'a.gus		asparaguși	as.pa.r'a.guși	i	38472	38475	^/^ a/a s/s p/p a/a r/r 'a/'a g/g u/u s/ș $/$
13230	demantelare	de.man.te.l'a.re	e	demantelări	de.man.te.l'ări	i	94377	94379	^/^ d/d e/e m/m a/a n/n t/t e/e l/l 'a/'ă r/r $/$
13231	băcăuan	bă.că.u'an		băcăuani	bă.că.u'ani	i	43806	43824	^/^ b/b ă/ă c/c ă/ă u/u 'a/'a n/n $/$
13232	pub	p'ub		puburi	p'u.buri	uri	237065	237208	^/^ p/p 'u/'u b/b $/$
13233	omagiu	o.m'a.giu	iu	omagii	o.m'a.gii	ii	205671	205667	^/^ o/o m/m 'a/'a g/g $/$
13234	însemnare	în.sem.n'a.re	e	însemnări	în.sem.n'ări	i	326609	326591	^/^ î/î n/n s/s e/e m/m n/n 'a/'ă r/r $/$
13235	conectiv	co.nec.t'iv		conective	co.nec.t'i.ve	e	74691	74692	^/^ c/c o/o n/n e/e c/c t/t 'i/'i v/v $/$
13236	biblioraft	bi.bli.o.r'aft		bibliorafturi	bi.bli.o.r'af.turi	uri	47553	47557	^/^ b/b i/i b/b l/l i/i o/o r/r 'a/'a f/f t/t $/$
13237	așezământ	a.șe.ză.m'ânt		așezăminte	a.șe.ză.m'in.te	e	17530	17527	^/^ a/a ș/ș e/e z/z ă/ă m/m 'â/'i n/n t/t $/$
13238	memoriu	me.m'o.riu	iu	memorii	me.m'o.rii	ii	175164	175158	^/^ m/m e/e m/m 'o/'o r/r $/$
13239	ruliu	ru.l'iu	u	ruliuri	ru.l'i.uri	uri	258647	258651	^/^ r/r u/u l/l 'i/'i $/$
13240	tubing	t'u.bing		tubinguri	t'u.bin.guri	uri	297502	297506	^/^ t/t 'u/'u b/b i/i n/n g/g $/$
13241	turelă	tu.r'e.lă	ă	turele	tu.r'e.le	e	298269	298262	^/^ t/t u/u r/r 'e/'e l/l $/$
13242	cămătărie	că.mă.tă.r'i.e	e	cămătării	că.mă.tă.r'ii	i	55180	55182	^/^ c/c ă/ă m/m ă/ă t/t ă/ă r/r 'i/'i $/$
13243	postscenium	post.sc'e.ni.um		postsceniumuri	post.sc'e.ni.u.muri	uri	225915	225919	^/^ p/p o/o s/s t/t s/s c/c 'e/'e n/n i/i u/u m/m $/$
13244	birtășiță	bir.tă.ș'i.ță	ă	birtășițe	bir.tă.ș'i.țe	e	48611	48606	^/^ b/b i/i r/r t/t ă/ă ș/ș 'i/'i ț/ț $/$
13245	dijmuitor	dij.mu.i.t'or		dijmuitori	dij.mu.i.t'ori	i	105112	105113	^/^ d/d i/i j/j m/m u/u i/i t/t 'o/'o r/r $/$
13246	decorare	de.co.r'a.re	e	decorări	de.co.r'ări	i	92039	92006	^/^ d/d e/e c/c o/o r/r 'a/'ă r/r $/$
13247	doctorand	doc.to.r'and		doctoranzi	doc.to.r'anzi	i	108717	108721	^/^ d/d o/o c/c t/t o/o r/r 'a/'a n/n d/z $/$
13248	ghenă	gh'e.nă	ă	ghene	gh'e.ne	e	136240	136235	^/^ g/g h/h 'e/'e n/n $/$
13249	stârpitură	stâr.pi.t'u.ră	ă	stârpituri	stâr.pi.t'uri	i	280641	280636	^/^ s/s t/t â/â r/r p/p i/i t/t 'u/'u r/r $/$
13250	suburs	su.b'urs		suburși	su.b'urși	i	281838	281841	^/^ s/s u/u b/b 'u/'u r/r s/ș $/$
13251	nailon	n'ai.lon		nailoane	nai.lo'a.ne	e	186557	186554	^/^ n/n 'a/a i/i l/l o/o'a n/n $/$
13252	nailon	n'ai.lon		nailonuri	n'ai.lo.nuri	uri	186557	186560	^/^ n/n 'a/'a i/i l/l o/o n/n $/$
13253	birt	b'irt		birturi	b'ir.turi	uri	48598	48602	^/^ b/b 'i/'i r/r t/t $/$
13254	podium	p'o.di.um		podiumuri	p'o.di.u.muri	uri	222922	222926	^/^ p/p 'o/'o d/d i/i u/u m/m $/$
13255	tălpig	tăl.p'ig		tălpige	tăl.p'i.ge	e	286865	286867	^/^ t/t ă/ă l/l p/p 'i/'i g/g $/$
13256	tălpig	tăl.p'ig		tălpigi	tăl.p'igi	i	286865	286872	^/^ t/t ă/ă l/l p/p 'i/'i g/g $/$
13257	meniu	me.n'iu	u	meniuri	me.n'i.uri	uri	175433	175436	^/^ m/m e/e n/n 'i/'i $/$
13258	englez	en.gl'ez		englezi	en.gl'ezi	i	116071	116098	^/^ e/e n/n g/g l/l 'e/'e z/z $/$
13259	fântână	fân.t'â.nă	ă	fântâne	fân.t'â.ne	e	133860	133836	^/^ f/f â/â n/n t/t 'â/'â n/n $/$
13260	fântână	fân.t'â.nă	ă	fântâni	fân.t'âni	i	133860	133847	^/^ f/f â/â n/n t/t 'â/'â n/n $/$
13261	reziliere	re.zi.li.'e.re	e	rezilieri	re.zi.li.'eri	i	255277	255280	^/^ r/r e/e z/z i/i l/l i/i 'e/'e r/r $/$
13262	barză	b'ar.ză	ă	berze	b'er.ze	e	46157	47288	^/^ b/b 'a/'e r/r z/z $/$
13263	atotputernic	a.tot.pu.t'er.nic		atotputernici	a.tot.pu.t'er.nici	i	39734	39748	^/^ a/a t/t o/o t/t p/p u/u t/t 'e/'e r/r n/n i/i c/c $/$
13264	slujbă	sl'uj.bă	ă	slujbe	sl'uj.be	e	271709	271696	^/^ s/s l/l 'u/'u j/j b/b $/$
13265	eclipsă	e.cl'ip.să	ă	eclipse	e.cl'ip.se	e	113033	113021	^/^ e/e c/c l/l 'i/'i p/p s/s $/$
13266	serj	s'erj		serjuri	s'er.juri	uri	267470	267474	^/^ s/s 'e/'e r/r j/j $/$
13267	caz	c'az		cazuri	c'a.zuri	uri	60796	60937	^/^ c/c 'a/'a z/z $/$
13268	dârmox	dâr.m'ox		dârmocși	dâr.m'ocși	i	112266	112262	^/^ d/d â/â r/r m/m 'o/'o x/c 0/ș $/$
13269	rezumat	re.zu.m'at		rezumate	re.zu.m'a.te	e	255522	255528	^/^ r/r e/e z/z u/u m/m 'a/'a t/t $/$
13270	alungare	a.lun.g'a.re	e	alungări	a.lun.g'ări	i	27545	27534	^/^ a/a l/l u/u n/n g/g 'a/'ă r/r $/$
13271	smintit	smin.t'it		smintiți	smin.t'iți	i	271927	271950	^/^ s/s m/m i/i n/n t/t 'i/'i t/ț $/$
13272	herghelie	her.ghe.l'i.e	e	herghelii	her.ghe.l'ii	i	142048	142050	^/^ h/h e/e r/r g/g h/h e/e l/l 'i/'i $/$
13273	grenadir	gre.na.d'ir		grenadiri	gre.na.d'iri	i	139038	139039	^/^ g/g r/r e/e n/n a/a d/d 'i/'i r/r $/$
13274	anadiploză	a.na.di.pl'o.ză	ă	anadiploze	a.na.di.pl'o.ze	e	29868	29863	^/^ a/a n/n a/a d/d i/i p/p l/l 'o/'o z/z $/$
13275	aplică	a.pl'i.că	ă	aplice	a.pl'i.ce	e	33973	34062	^/^ a/a p/p l/l 'i/'i c/c $/$
13276	delimitare	de.li.mi.t'a.re	e	delimitări	de.li.mi.t'ări	i	94216	94260	^/^ d/d e/e l/l i/i m/m i/i t/t 'a/'ă r/r $/$
13277	coridor	co.ri.d'or		coridoare	co.ri.do'a.re	e	81089	81086	^/^ c/c o/o r/r i/i d/d 'o/o'a r/r $/$
13278	sciatică	sci.'a.ti.că	ă	sciatici	sci.'a.tici	i	263261	263257	^/^ s/s c/c i/i 'a/'a t/t i/i c/c $/$
13279	blocnotes	bloc.n'o.tes		blocnotesuri	bloc.n'o.te.suri	uri	49457	49460	^/^ b/b l/l o/o c/c n/n 'o/'o t/t e/e s/s $/$
13280	scrumbioară	scrum.bi.o'a.ră	ă	scrumbioare	scrum.bi.o'a.re	e	264031	264025	^/^ s/s c/c r/r u/u m/m b/b i/i o'a/o'a r/r $/$
13281	spaniol	spa.ni.'ol		spanioli	spa.ni.'oli	i	274108	274118	^/^ s/s p/p a/a n/n i/i 'o/'o l/l $/$
13282	neguțătorie	ne.gu.ță.to.r'i.e	e	neguțătorii	ne.gu.ță.t'o.rii	i	191251	191254	^/^ n/n e/e g/g u/u ț/ț ă/ă t/t o/'o r/r 'i/i $/$
13283	suflu	s'u.flu	u	sufluri	s'u.fluri	uri	282681	282685	^/^ s/s 'u/'u f/f l/l $/$
13284	circumstanță	cir.cum.st'an.ță	ă	circumstanțe	cir.cum.st'an.țe	e	65962	65956	^/^ c/c i/i r/r c/c u/u m/m s/s t/t 'a/'a n/n ț/ț $/$
13285	expirare	ex.pi.r'a.re	e	expirări	ex.pi.r'ări	i	121144	121193	^/^ e/e x/x p/p i/i r/r 'a/'ă r/r $/$
13286	perturbare	per.tur.b'a.re	e	perturbări	per.tur.b'ări	i	217715	217704	^/^ p/p e/e r/r t/t u/u r/r b/b 'a/'ă r/r $/$
13287	granit	gra.n'it		granituri	gra.n'i.turi	uri	138533	138537	^/^ g/g r/r a/a n/n 'i/'i t/t $/$
13288	titan	ti.t'an		titani	ti.t'ani	i	291828	291829	^/^ t/t i/i t/t 'a/'a n/n $/$
13289	huilă	hu.'i.lă	ă	huile	hu.'i.le	e	144398	144392	^/^ h/h u/u 'i/'i l/l $/$
13290	megastar	me.gas.t'ar		megastaruri	me.gas.t'a.ruri	uri	174744	174747	^/^ m/m e/e g/g a/a s/s t/t 'a/'a r/r $/$
13291	zgrunțur	zgr'un.țur		zgrunțuri	zgr'un.țuri	i	312278	312279	^/^ z/z g/g r/r 'u/'u n/n ț/ț u/u r/r $/$
13292	rașcă	r'aș.că	ă	rășci	r'ășci	i	241311	238827	^/^ r/r 'a/'ă ș/ș c/c $/$
13293	scorbut	scor.b'ut		scorbuturi	scor.b'u.turi	uri	263653	263657	^/^ s/s c/c o/o r/r b/b 'u/'u t/t $/$
13294	alternativă	al.ter.na.t'i.vă	ă	alternative	al.ter.na.t'i.ve	e	27308	27294	^/^ a/a l/l t/t e/e r/r n/n a/a t/t 'i/'i v/v $/$
13295	bruft	br'uft		brufturi	br'uf.turi	uri	52057	52094	^/^ b/b r/r 'u/'u f/f t/t $/$
13296	dinte	d'in.te	e	dinți	d'inți	i	105562	105387	^/^ d/d 'i/'i n/n t/ț $/$
13297	glumelă	glu.m'e.lă	ă	glumele	glu.m'e.le	e	137498	137491	^/^ g/g l/l u/u m/m 'e/'e l/l $/$
13298	părinție	pă.rin.ț'i.e	e	părinții	pă.rin.ț'ii	i	210311	210314	^/^ p/p ă/ă r/r i/i n/n ț/ț 'i/'i $/$
13299	opinie	o.p'i.ni.e	e	opinii	o.p'i.nii	i	206641	206643	^/^ o/o p/p 'i/'i n/n i/i $/$
13300	ostatic	os.t'a.tic		ostatici	os.t'a.tici	i	208663	208664	^/^ o/o s/s t/t 'a/'a t/t i/i c/c $/$
13301	reasigurare	re.a.si.gu.r'a.re	e	reasigurări	re.a.si.gu.r'ări	i	244282	244284	^/^ r/r e/e a/a s/s i/i g/g u/u r/r 'a/'ă r/r $/$
13302	scurtmetraj	scurt.me.tr'aj		scurtmetraje	scurt.me.tr'a.je	e	264710	264711	^/^ s/s c/c u/u r/r t/t m/m e/e t/t r/r 'a/'a j/j $/$
13303	microdisecție	mi.cro.di.s'ec.ți.e	e	microdisecții	mi.cro.di.s'ec.ții	i	176985	176987	^/^ m/m i/i c/c r/r o/o d/d i/i s/s 'e/'e c/c ț/ț i/i $/$
13304	tagmă	t'ag.mă	ă	tagme	t'ag.me	e	287597	287591	^/^ t/t 'a/'a g/g m/m $/$
13305	șut	ș'ut		șuturi	ș'u.turi	uri	3157	3202	^/^ ș/ș 'u/'u t/t $/$
13306	zisă	z'i.să	ă	zise	z'i.se	e	312906	312878	^/^ z/z 'i/'i s/s $/$
13307	șomer	șo.m'er		șomeri	șo.m'eri	i	1901	1908	^/^ ș/ș o/o m/m 'e/'e r/r $/$
13308	folosire	fo.lo.s'i.re	e	folosiri	fo.lo.s'iri	i	129515	129517	^/^ f/f o/o l/l o/o s/s 'i/'i r/r $/$
13309	convulsie	con.v'ul.si.e	e	convulsii	con.v'ul.sii	i	79890	79892	^/^ c/c o/o n/n v/v 'u/'u l/l s/s i/i $/$
13310	guvernant	gu.ver.n'ant		guvernanți	gu.ver.n'anți	i	140154	140181	^/^ g/g u/u v/v e/e r/r n/n 'a/'a n/n t/ț $/$
13311	transfer	trans.f'er		transferuri	trans.f'e.ruri	uri	294072	294135	^/^ t/t r/r a/a n/n s/s f/f 'e/'e r/r $/$
13312	text	t'ext		texte	t'ex.te	e	290861	290862	^/^ t/t 'e/'e x/x t/t $/$
13313	arhitect	ar.hi.t'ect		arhitecți	ar.hi.t'ecți	i	36132	36129	^/^ a/a r/r h/h i/i t/t 'e/'e c/c t/ț $/$
13314	călțun	căl.ț'un		călțuni	căl.ț'uni	i	54916	54917	^/^ c/c ă/ă l/l ț/ț 'u/'u n/n $/$
13315	cumpănă	c'um.pă.nă	ă	cumpene	c'um.pe.ne	e	86097	86232	^/^ c/c 'u/'u m/m p/p ă/e n/n $/$
13316	fobie	fo.b'i.e	e	fobii	fo.b'ii	i	129228	129230	^/^ f/f o/o b/b 'i/'i $/$
13317	redresare	re.dre.s'a.re	e	redresări	re.dre.s'ări	i	247019	247051	^/^ r/r e/e d/d r/r e/e s/s 'a/'ă r/r $/$
13318	podiș	po.d'iș		podișuri	po.d'i.șuri	uri	222929	222934	^/^ p/p o/o d/d 'i/'i ș/ș $/$
13319	autogunoieră	a.u.to.gu.no.i'e.ră	ă	autogunoiere	a.u.to.gu.no.i'e.re	e	41662	41657	^/^ a/a u/u t/t o/o g/g u/u n/n o/o i/i 'e/'e r/r $/$
13320	crah	cr'ah		crahuri	cr'a.huri	uri	82565	82568	^/^ c/c r/r 'a/'a h/h $/$
13321	internă	in.t'er.nă	ă	interne	in.t'er.ne	e	155522	155617	^/^ i/i n/n t/t 'e/'e r/r n/n $/$
13322	omăt	o.m'ăt		omături	o.m'ă.turi	uri	205608	205611	^/^ o/o m/m 'ă/'ă t/t $/$
13323	ocel	o.c'el		oceli	o.c'eli	i	204174	204175	^/^ o/o c/c 'e/'e l/l $/$
13324	termodifuzie	ter.mo.di.f'u.zi.e	e	termodifuzii	ter.mo.di.f'u.zii	i	290408	290410	^/^ t/t e/e r/r m/m o/o d/d i/i f/f 'u/'u z/z i/i $/$
13325	colorit	co.lo.r'it		colorituri	co.lo.r'i.turi	uri	70610	70614	^/^ c/c o/o l/l o/o r/r 'i/'i t/t $/$
13326	navlositor	na.vlo.si.t'or		navlositori	na.vlo.si.t'ori	i	187111	187112	^/^ n/n a/a v/v l/l o/o s/s i/i t/t 'o/'o r/r $/$
13327	navlositor	na.vlo.si.t'or		navlositori	na.vlo.si.t'ori	i	187111	187113	^/^ n/n a/a v/v l/l o/o s/s i/i t/t 'o/'o r/r $/$
13328	plusprodus	plus.pro.d'us		plusproduse	plus.pro.d'u.se	e	222393	222394	^/^ p/p l/l u/u s/s p/p r/r o/o d/d 'u/'u s/s $/$
13329	plusprodus	plus.pro.d'us		plusprodusuri	plus.pro.d'u.suri	uri	222393	222399	^/^ p/p l/l u/u s/s p/p r/r o/o d/d 'u/'u s/s $/$
13330	trăitor	tră.i.t'or		trăitori	tră.i.t'ori	i	293254	293256	^/^ t/t r/r ă/ă i/i t/t 'o/'o r/r $/$
13331	salt	s'alt		salturi	s'al.turi	uri	261094	261121	^/^ s/s 'a/'a l/l t/t $/$
13332	funcțiune	func.ți.'u.ne	e	funcțiuni	func.ți.'uni	i	132958	132959	^/^ f/f u/u n/n c/c ț/ț i/i 'u/'u n/n $/$
13333	astupare	as.tu.p'a.re	e	astupări	a.stu.p'ări	i	38750	38797	^/^ a/a s/s t/t u/u p/p 'a/'ă r/r $/$
13334	insolență	in.so.l'en.ță	ă	insolențe	in.so.l'en.țe	e	153264	153259	^/^ i/i n/n s/s o/o l/l 'e/'e n/n ț/ț $/$
13335	interdict	in.ter.d'ict		interdicte	in.ter.d'ic.te	e	155108	155109	^/^ i/i n/n t/t e/e r/r d/d 'i/'i c/c t/t $/$
13336	ctitorie	cti.to.r'i.e	e	ctitorii	cti.to.r'ii	i	84772	84776	^/^ c/c t/t i/i t/t o/o r/r 'i/'i $/$
13337	unghie	'un.ghi.e	e	unghii	'un.ghii	i	300895	300897	^/^ 'u/'u n/n g/g h/h i/i $/$
13338	cir	c'ir		ciri	c'iri	i	65755	66027	^/^ c/c 'i/'i r/r $/$
13339	taht	t'aht		tahturi	t'ah.turi	uri	287610	287613	^/^ t/t 'a/'a h/h t/t $/$
13340	eupatrid	e.u.pa.tr'id		eupatrizi	e.u.pa.tr'izi	i	118292	118295	^/^ e/e u/u p/p a/a t/t r/r 'i/'i d/z $/$
13341	bucătăreasă	bu.că.tă.re'a.să	ă	bucătărese	bu.că.tă.r'e.se	e	52560	52561	^/^ b/b u/u c/c ă/ă t/t ă/ă r/r e'a/'e s/s $/$
13342	ciovlică	cio.vl'i.că	ă	ciovlici	cio.vl'ici	i	65728	65723	^/^ c/c i/i o/o v/v l/l 'i/'i c/c $/$
13343	pleoscăitură	pleos.că.i.t'u.ră	ă	pleoscăituri	pleos.că.i.t'uri	i	221689	221681	^/^ p/p l/l e/e o/o s/s c/c ă/ă i/i t/t 'u/'u r/r $/$
13344	viezure	vi'e.zu.re	e	viezuri	vi'e.zuri	i	306588	306591	^/^ v/v i/i 'e/'e z/z u/u r/r $/$
13345	viezure	vi'e.zu.re	e	viezurii	vi'e.zu.rii	i	306588	306592	^/^ v/v i/i 'e/'e z/z u/u r/r 0/i $/$
13346	casetă	ca.s'e.tă	ă	casete	ca.s'e.te	e	59863	59851	^/^ c/c a/a s/s 'e/'e t/t $/$
13347	interatracție	in.te.ra.tr'ac.ți.e	e	interatracții	in.te.ra.trac.ț'ii	i	154794	154796	^/^ i/i n/n t/t e/e r/r a/a t/t r/r 'a/a c/c ț/ț i/'i $/$
13348	spațialitate	spa.ția.li.t'a.te	e	spațialități	spa.ția.li.t'ăți	i	274001	274003	^/^ s/s p/p a/a ț/ț i/i a/a l/l i/i t/t 'a/'ă t/ț $/$
13349	postoroncă	pos.to.r'on.că	ă	postoronci	pos.to.r'onci	i	225874	225869	^/^ p/p o/o s/s t/t o/o r/r 'o/'o n/n c/c $/$
13350	bobornic	bo.b'or.nic		bobornici	bo.b'or.nici	i	49759	49760	^/^ b/b o/o b/b 'o/'o r/r n/n i/i c/c $/$
13351	resemnare	re.sem.n'a.re	e	resemnări	re.sem.n'ări	i	252350	252395	^/^ r/r e/e s/s e/e m/m n/n 'a/'ă r/r $/$
13352	băiat	bă.i'at		băieți	bă.i'eți	i	43932	43975	^/^ b/b ă/ă i/i 'a/'e t/ț $/$
13353	înghețată	în.ghe.ț'a.tă	ă	înghețate	în.ghe.ț'a.te	e	323435	323428	^/^ î/î n/n g/g h/h e/e ț/ț 'a/'a t/t $/$
13354	hingher	hin.gh'er		hingheri	hin.gh'eri	i	142718	142730	^/^ h/h i/i n/n g/g h/h 'e/'e r/r $/$
13355	procurare	pro.cu.r'a.re	e	procurări	pro.cu.r'ări	i	233224	233212	^/^ p/p r/r o/o c/c u/u r/r 'a/'ă r/r $/$
13356	inițiere	i.ni.ți.'e.re	e	inițieri	i.ni.ți.'eri	i	152490	152492	^/^ i/i n/n i/i ț/ț i/i 'e/'e r/r $/$
13357	pârș	p'ârș		pârși	p'ârși	i	238543	238544	^/^ p/p 'â/'â r/r ș/ș $/$
13358	surmenare	sur.me.n'a.re	e	surmenări	sur.me.n'ări	i	285345	285375	^/^ s/s u/u r/r m/m e/e n/n 'a/'ă r/r $/$
13359	închipuită	în.chi.pu.'i.tă	ă	închipuite	în.chi.pu.'i.te	e	318777	318765	^/^ î/î n/n c/c h/h i/i p/p u/u 'i/'i t/t $/$
13360	îndoială	în.do.i'a.lă	ă	îndoieli	în.do.i'eli	i	321037	321042	^/^ î/î n/n d/d o/o i/i 'a/'e l/l $/$
13361	testare	tes.t'a.re	e	testări	tes.t'ări	i	290708	290677	^/^ t/t e/e s/s t/t 'a/'ă r/r $/$
13362	caiet	ca.i'et		caiete	ca.i'e.te	e	56645	56646	^/^ c/c a/a i/i 'e/'e t/t $/$
13363	impas	im.p'as		impasuri	im.p'a.suri	uri	147241	147259	^/^ i/i m/m p/p 'a/'a s/s $/$
13364	trincă	tr'in.că	ă	trinci	tr'inci	i	296463	296457	^/^ t/t r/r 'i/'i n/n c/c $/$
13365	ghiu	gh'iu	u	ghiuri	gh'i.uri	uri	136685	136719	^/^ g/g h/h 'i/'i $/$
13366	covrig	co.vr'ig		covrigi	co.vr'igi	i	82250	82264	^/^ c/c o/o v/v r/r 'i/'i g/g $/$
13367	investigațiune	in.ves.ti.ga.ți.'u.ne	e	investigațiuni	in.ves.ti.ga.ți.'uni	i	157659	157661	^/^ i/i n/n v/v e/e s/s t/t i/i g/g a/a ț/ț i/i 'u/'u n/n $/$
13368	apendicită	a.pen.di.c'i.tă	ă	apendicite	a.pen.di.c'i.te	e	33719	33714	^/^ a/a p/p e/e n/n d/d i/i c/c 'i/'i t/t $/$
13369	maiou	ma.i'o.u	u	maiouri	ma.i'o.uri	uri	170984	170988	^/^ m/m a/a i/i 'o/'o $/$
13370	năsâlnicie	nă.sâl.ni.c'i.e	e	năsâlnicii	nă.s'âl.ni.cii	i	186083	186085	^/^ n/n ă/ă s/s â/'â l/l n/n i/i c/c 'i/i $/$
